tiff_file,start_date,end_date,precipitation_sum
NDMI_2021-03-05_to_2021-03-12.tif,2021-03-05,2021-03-12,0.0
NDMI_2021-03-26_to_2021-04-02.tif,2021-03-26,2021-04-02,0.0
NDMI_2021-04-09_to_2021-04-16.tif,2021-04-09,2021-04-16,4.34
NDMI_2021-04-23_to_2021-04-30.tif,2021-04-23,2021-04-30,0.0
NDMI_2021-04-30_to_2021-05-07.tif,2021-04-30,2021-05-07,15.43
NDMI_2021-05-14_to_2021-05-21.tif,2021-05-14,2021-05-21,0.0
NDMI_2021-05-21_to_2021-05-28.tif,2021-05-21,2021-05-28,3.65
NDMI_2021-05-28_to_2021-06-04.tif,2021-05-28,2021-06-04,0.0
NDMI_2021-06-04_to_2021-06-11.tif,2021-06-04,2021-06-11,0.0
NDMI_2021-06-18_to_2021-06-25.tif,2021-06-18,2021-06-25,0.0
NDMI_2021-06-25_to_2021-07-02.tif,2021-06-25,2021-07-02,0.0
NDMI_2021-08-05_to_2021-08-12.tif,2021-08-05,2021-08-12,0.0
NDMI_2021-08-12_to_2021-08-19.tif,2021-08-12,2021-08-19,0.0
NDMI_2021-08-19_to_2021-08-26.tif,2021-08-19,2021-08-26,0.0
NDMI_2021-08-26_to_2021-09-02.tif,2021-08-26,2021-09-02,0.0
NDMI_2021-09-02_to_2021-09-09.tif,2021-09-02,2021-09-09,0.0
NDMI_2021-09-16_to_2021-09-23.tif,2021-09-16,2021-09-23,17.830000000000002
NDMI_2021-09-23_to_2021-09-30.tif,2021-09-23,2021-09-30,0.0
NDMI_2021-10-07_to_2021-10-14.tif,2021-10-07,2021-10-14,0.0
NDMI_2021-10-14_to_2021-10-21.tif,2021-10-14,2021-10-21,0.0
NDMI_2021-10-21_to_2021-10-28.tif,2021-10-21,2021-10-28,0.0
NDMI_2021-10-28_to_2021-11-04.tif,2021-10-28,2021-11-04,0.0
NDMI_2021-11-11_to_2021-11-18.tif,2021-11-11,2021-11-18,0.0
NDMI_2021-11-25_to_2021-12-02.tif,2021-11-25,2021-12-02,0.0
NDMI_2021-12-02_to_2021-12-09.tif,2021-12-02,2021-12-09,0.0
NDMI_2021-12-09_to_2021-12-16.tif,2021-12-09,2021-12-16,0.0
NDMI_2021-12-16_to_2021-12-23.tif,2021-12-16,2021-12-23,0.0
NDMI_2022-01-08_to_2022-01-15.tif,2022-01-08,2022-01-15,0.0
NDMI_2022-01-22_to_2022-01-29.tif,2022-01-22,2022-01-29,0.0
NDMI_2022-01-29_to_2022-02-05.tif,2022-01-29,2022-02-05,0.0
NDMI_2022-02-05_to_2022-02-12.tif,2022-02-05,2022-02-12,0.0
NDMI_2022-02-12_to_2022-02-19.tif,2022-02-12,2022-02-19,0.0
NDMI_2022-02-19_to_2022-02-26.tif,2022-02-19,2022-02-26,0.0
NDMI_2022-02-26_to_2022-03-05.tif,2022-02-26,2022-03-05,10.88
NDMI_2022-03-05_to_2022-03-12.tif,2022-03-05,2022-03-12,0.14
NDMI_2022-03-12_to_2022-03-19.tif,2022-03-12,2022-03-19,0.0
NDMI_2022-03-19_to_2022-03-26.tif,2022-03-19,2022-03-26,0.0
NDMI_2022-03-26_to_2022-04-02.tif,2022-03-26,2022-04-02,0.0
