lat,lon,tz,date,units,cloud_cover,humidity,precipitation,temperature,pressure,wind
29.18483,71.49811,+05:00,2019-01-20,standard,{'afternoon': 65.0},{'afternoon': 49.0},{'total': 1.61},"{'min': 284.58, 'max': 294.3, 'afternoon': 292.3, 'night': 287.7, 'evening': 291.35, 'morning': 284.83}",{'afternoon': 1018.0},"{'max': {'speed': 3.67, 'direction': 7.0}}"
29.18483,71.49811,+05:00,2019-01-21,standard,{'afternoon': 68.0},{'afternoon': 79.0},{'total': 3.63},"{'min': 284.58, 'max': 291.32, 'afternoon': 287.06, 'night': 285.77, 'evening': 290.32, 'morning': 284.64}",{'afternoon': 1015.0},"{'max': {'speed': 3.28, 'direction': 1.0}}"
29.18483,71.49811,+05:00,2019-01-22,standard,{'afternoon': 2.0},{'afternoon': 67.0},{'total': 0.0},"{'min': 282.0, 'max': 292.74, 'afternoon': 289.65, 'night': 286.01, 'evening': 289.98, 'morning': 283.45}",{'afternoon': 1014.0},"{'max': {'speed': 3.46, 'direction': 197.0}}"
29.18483,71.49811,+05:00,2019-01-23,standard,{'afternoon': 0.0},{'afternoon': 67.0},{'total': 0.0},"{'min': 280.77, 'max': 290.52, 'afternoon': 287.13, 'night': 283.92, 'evening': 289.61, 'morning': 280.77}",{'afternoon': 1020.0},"{'max': {'speed': 3.45, 'direction': 357.0}}"
29.18483,71.49811,+05:00,2019-01-24,standard,{'afternoon': 30.0},{'afternoon': 72.0},{'total': 0.0},"{'min': 280.85, 'max': 289.54, 'afternoon': 285.87, 'night': 283.22, 'evening': 288.77, 'morning': 281.3}",{'afternoon': 1024.0},"{'max': {'speed': 2.83, 'direction': 16.0}}"
29.18483,71.49811,+05:00,2019-01-25,standard,{'afternoon': 1.0},{'afternoon': 66.0},{'total': 0.0},"{'min': 280.76, 'max': 291.71, 'afternoon': 287.87, 'night': 283.37, 'evening': 289.02, 'morning': 281.54}",{'afternoon': 1022.0},"{'max': {'speed': 3.17, 'direction': 222.0}}"
29.18483,71.49811,+05:00,2019-01-26,standard,{'afternoon': 51.0},{'afternoon': 63.0},{'total': 0.0},"{'min': 279.11, 'max': 291.43, 'afternoon': 288.54, 'night': 282.26, 'evening': 289.69, 'morning': 279.29}",{'afternoon': 1026.0},"{'max': {'speed': 2.44, 'direction': 158.0}}"
29.18483,71.49811,+05:00,2019-01-27,standard,{'afternoon': 7.0},{'afternoon': 64.0},{'total': 1.53},"{'min': 282.46, 'max': 292.96, 'afternoon': 289.66, 'night': 284.39, 'evening': 292.21, 'morning': 282.9}",{'afternoon': 1026.0},"{'max': {'speed': 3.0, 'direction': 262.0}}"
29.18483,71.49811,+05:00,2019-01-28,standard,{'afternoon': 0.0},{'afternoon': 58.0},{'total': 0.0},"{'min': 280.48, 'max': 294.36, 'afternoon': 291.15, 'night': 284.44, 'evening': 292.01, 'morning': 280.81}",{'afternoon': 1025.0},"{'max': {'speed': 2.83, 'direction': 226.0}}"
29.18483,71.49811,+05:00,2019-01-29,standard,{'afternoon': 0.0},{'afternoon': 55.0},{'total': 0.0},"{'min': 280.87, 'max': 295.13, 'afternoon': 291.8, 'night': 283.29, 'evening': 292.73, 'morning': 281.12}",{'afternoon': 1022.0},"{'max': {'speed': 4.01, 'direction': 207.0}}"
29.18483,71.49811,+05:00,2019-01-30,standard,{'afternoon': 76.0},{'afternoon': 58.0},{'total': 0.94},"{'min': 282.62, 'max': 289.35, 'afternoon': 288.59, 'night': 285.23, 'evening': 286.85, 'morning': 283.08}",{'afternoon': 1020.0},"{'max': {'speed': 5.86, 'direction': 5.0}}"
29.18483,71.49811,+05:00,2019-01-31,standard,{'afternoon': 56.0},{'afternoon': 73.0},{'total': 1.84},"{'min': 282.23, 'max': 288.88, 'afternoon': 286.51, 'night': 283.69, 'evening': 287.23, 'morning': 282.75}",{'afternoon': 1018.0},"{'max': {'speed': 6.27, 'direction': 356.0}}"
29.18483,71.49811,+05:00,2019-02-01,standard,{'afternoon': 16.0},{'afternoon': 67.0},{'total': 0.0},"{'min': 280.89, 'max': 291.43, 'afternoon': 287.48, 'night': 282.94, 'evening': 289.08, 'morning': 281.05}",{'afternoon': 1023.0},"{'max': {'speed': 5.68, 'direction': 8.0}}"
