area_irrigated_pixels,average_amount_mm,weekly_precipitation_mm,tiff_file,start_date,end_date
0,0.0,0.0,NDMI_2022-01-22_to_2022-01-29.tif,2022-01-22,2022-01-29
0,0.0,0.0,NDMI_2022-01-29_to_2022-02-05.tif,2022-01-29,2022-02-05
0,0.0,0.0,NDMI_2022-02-05_to_2022-02-12.tif,2022-02-05,2022-02-12
5,11.540722250938416,0.0,NDMI_2022-02-12_to_2022-02-19.tif,2022-02-12,2022-02-19
0,0.0,0.0,NDMI_2022-02-19_to_2022-02-26.tif,2022-02-19,2022-02-26
0,0.0,10.88,NDMI_2022-02-26_to_2022-03-05.tif,2022-02-26,2022-03-05
0,0.0,0.14,NDMI_2022-03-05_to_2022-03-12.tif,2022-03-05,2022-03-12
0,0.0,0.0,NDMI_2022-03-12_to_2022-03-19.tif,2022-03-12,2022-03-19
0,0.0,0.0,NDMI_2022-03-19_to_2022-03-26.tif,2022-03-19,2022-03-26
63,12.195102894116962,0.0,NDMI_2022-03-26_to_2022-04-02.tif,2022-03-26,2022-04-02
0,0.0,0.0,NDMI_2022-04-09_to_2022-04-16.tif,2022-04-09,2022-04-16
0,0.0,0.0,NDMI_2022-04-16_to_2022-04-23.tif,2022-04-16,2022-04-23
0,0.0,0.0,NDMI_2022-04-23_to_2022-04-30.tif,2022-04-23,2022-04-30
51,11.145964323305616,0.0,NDMI_2022-04-30_to_2022-05-07.tif,2022-04-30,2022-05-07
3,10.82595760623614,0.0,NDMI_2022-05-07_to_2022-05-14.tif,2022-05-07,2022-05-14
0,0.0,0.0,NDMI_2022-05-14_to_2022-05-21.tif,2022-05-14,2022-05-21
0,0.0,0.0,NDMI_2022-05-21_to_2022-05-28.tif,2022-05-21,2022-05-28
0,0.0,0.0,NDMI_2022-05-28_to_2022-06-04.tif,2022-05-28,2022-06-04
29,10.544978339096595,0.0,NDMI_2022-06-04_to_2022-06-11.tif,2022-06-04,2022-06-11
0,0.0,0.83,NDMI_2022-06-11_to_2022-06-18.tif,2022-06-11,2022-06-18
313,10.25054566645013,4.3,NDMI_2022-06-18_to_2022-06-25.tif,2022-06-18,2022-06-25
0,0.0,0.27,NDMI_2022-06-25_to_2022-07-02.tif,2022-06-25,2022-07-02
21,16.074446127528237,0.0,NDMI_2022-09-02_to_2022-09-09.tif,2022-09-02,2022-09-09
0,0.0,0.0,NDMI_2022-09-16_to_2022-09-23.tif,2022-09-16,2022-09-23
0,0.0,0.0,NDMI_2022-09-23_to_2022-09-30.tif,2022-09-23,2022-09-30
0,0.0,0.0,NDMI_2022-09-30_to_2022-10-07.tif,2022-09-30,2022-10-07
0,0.0,0.0,NDMI_2022-10-07_to_2022-10-14.tif,2022-10-07,2022-10-14
0,0.0,0.0,NDMI_2022-10-14_to_2022-10-21.tif,2022-10-14,2022-10-21
0,0.0,0.0,NDMI_2022-10-21_to_2022-10-28.tif,2022-10-21,2022-10-28
0,0.0,0.0,NDMI_2022-10-28_to_2022-11-04.tif,2022-10-28,2022-11-04
2,11.362877488136292,0.0,NDMI_2022-11-11_to_2022-11-18.tif,2022-11-11,2022-11-18
323,15.91632739401454,0.0,NDMI_2022-11-25_to_2022-12-02.tif,2022-11-25,2022-12-02
4,13.69737982749939,0.0,NDMI_2022-12-02_to_2022-12-09.tif,2022-12-02,2022-12-09
0,0.0,0.0,NDMI_2022-12-09_to_2022-12-16.tif,2022-12-09,2022-12-16
116,12.00376107389557,0.0,NDMI_2022-12-16_to_2022-12-23.tif,2022-12-16,2022-12-23
312,21.03762593693458,0.0,NDMI_2022-12-30_to_2023-01-06.tif,2022-12-30,2023-01-06
0,0.0,0.0,NDMI_2023-01-01_to_2023-01-08.tif,2023-01-01,2023-01-08
0,0.0,0.0,NDMI_2023-01-08_to_2023-01-15.tif,2023-01-08,2023-01-15
0,0.0,0.0,NDMI_2023-01-15_to_2023-01-22.tif,2023-01-15,2023-01-22
0,0.0,0.0,NDMI_2023-01-22_to_2023-01-29.tif,2023-01-22,2023-01-29
